2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/06:32:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/06:32:51		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/06:32:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/06:32:55		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/06:32:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/06:32:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/06:32:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/06:32:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/06:32:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/08:26:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/08:26:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/08:26:54		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/08:26:55		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/08:26:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/08:26:56		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/08:26:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/08:26:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/08:26:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-21/08:32:31		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-21/08:32:34		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-21/08:32:38		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-21/08:32:41		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-21/08:32:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-21/08:32:49		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-21/08:32:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-21/08:32:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-21/08:32:59		 wafer_29012020_050617.csv: File Transformed successfully!!
